"A: Ingredient Name","B: Common Synonyms","C: E-Number","D: Category","E: Primary Function","F: Secondary Function","G: Mechanism of Action","H: Application Categories","I: Usage Level Min %","J: Usage Level Max %","K: pH Range Min","L: pH Range Max","M: Heat Stable","N: Freeze-Thaw Stable","O: Clean Label Status","P: Clean Label Alternatives","Q: Substitution Ratio","R: Sensory Impact of Substitution","S: Processing Considerations","T: Regulatory Status Ghana FDA","U: Regulatory Status EU","V: Regulatory Status FDA USA","W: Functional Description"
"Soy Lecithin","Soybean phospholipids","E322i","EMU","O/W Emulsification","Rheology control","Forms interfacial viscoelastic film","DY, BF",0.10,1.00,4.0,9.0,"M","M","S-CL","Sunflower Lecithin, Oat Fiber","1:1","Neutral flavor, no soy allergen","Sensitive to thermal heat >80C","APP","APP","APP","Natural oil-derived phospholipid"
"Sunflower Lecithin","Sunflower phospholipids","E322ii","EMU","O/W Emulsification","Rheology control","Drops interfacial tension","DY, BF",0.10,1.00,4.0,9.0,"M","M","CL","Soy Lecithin, Egg Lecithin","1:1","Completely clean, neutral profile","Disperses readily in fat phases","APP","APP","APP","Allergen-free plant phospholipid"
"Egg Yolk Lecithin","Egg phospholipids","E322iii","EMU","Emulsion builder","Texture enhancer","Phosphatidylcholine micelle barrier","SA, DS",0.10,1.50,4.0,8.5,"M","M","CL","Sunflower Lecithin","1:0.8","Rich, eggy notes, yellow tint","Requires pasteurization paste","APP","APP","APP","Traditional egg-derived emulsifier"
"Rapeseed Lecithin","Canola phospholipids","E322iv","EMU","Emulsion builder","Rheology control","Lowers oil-water interfacial energy","DY, BF",0.10,1.00,4.0,9.0,"M","M","S-CL","Sunflower Lecithin","1:1.1","Faint canola, herbaceous note","Viscous liquid, high shear dispersible","APP","APP","APP","Oilseed-derived surfactant alternative"
"PEG 40 Stearate","Polyoxyethylene 40 stearate","E430","EMU","Emulsion builder","Viscosity control","Steric stabilization of liquid oil","ALL",0.10,0.50,4.0,9.0,"Y","Y","N-CL","Soy Lecithin, Citrus Fiber","1:2","Synthetic waxiness, soapy tail","Solid wax, must melt in hot oil","APP","BAN","APP","Highly hydrophilic synthetic polymer"
"PEG 8 Stearate","Polyoxyethylene 8 stearate","E431","EMU","Emulsion builder","Viscosity control","Steric stabilization of liquid oil","ALL",0.10,0.50,4.0,9.0,"Y","Y","N-CL","Sunflower Lecithin, Pea Protein","1:2.2","Synthetic soapy profile","Hydrate in warm fat phase first","APP","BAN","APP","Intermediate-HLB synthetic surfactant"
"Polysorbate 20","Tween 20","E432","EMU","Emulsion builder","Solubilizing agent","High-HLB micellar encapsulation","BV, SA",0.05,0.40,3.5,8.5,"Y","Y","N-CL","Quillaja Saponins, Gum Arabic","1:3","Bitter, sharp soapy notes","Extreme surface activity, foam risk","APP","APP","APP","Synthetic sorbitol-derived surfactant"
"Polysorbate 80","Tween 80","E433","EMU","Fat crystallization","Foam stabilization","Steric and electrostatic exclusion","DS, DY",0.05,0.50,3.5,8.5,"Y","Y","N-CL","Quillaja Saponins, Soy Lecithin","1:2.5","Bitter chemical aftertaste","Promotes controlled fat destabilization","APP","APP","APP","High-HLB industrial ice cream emulsifier"
"Polysorbate 40","Tween 40","E434","EMU","Emulsion builder","Viscosity control","Hydrophilic micellar protection","ALL",0.05,0.40,3.5,8.5,"Y","Y","N-CL","Rapeseed Lecithin, Gum Arabic","1:3","Bitter chemical notes","Keep containers tightly sealed","APP","APP","APP","Intermediate-HLB polyoxyethylene ester"
"Polysorbate 60","Tween 60","E435","EMU","Dough conditioning","Foam builder","Interfacial surfactant packing","BF, SA",0.05,0.50,3.5,8.5,"Y","Y","N-CL","Sunflower Lecithin, Xanthan Gum","1:2.5","Bitter, waxy fat-like note","Melt into lipid phase before blending","APP","APP","APP","Synthetic emulsifier for high-fat baking"
"Polysorbate 65","Tween 65","E436","EMU","Crystallization aid","Emulsion stabilizer","Retards fat crystal transformation","DS, DY",0.05,0.50,3.5,8.5,"Y","Y","N-CL","Egg Lecithin, Citrus Fiber","1:2.8","Waxy, slight oily mouth coating","Dissolves readily in warm oils","APP","APP","APP","Hydrophobic polyoxyethylene triester"
"Ammonium Phosphatide","YN","E442","EMU","Viscosity reducer","Crystallization aid","Adsorbs to sugar particles in fat","CF",0.10,0.70,4.0,8.5,"Y","Y","N-CL","Soy Lecithin, Sunflower Lecithin","1:1.2","Completely neutral, zero notes","Decreases yield value of chocolates","APP","APP","APP","Ammonium salt of phosphatidic acid"
"SAIB","Sucrose diacetate","E444","EMU","Weighting agent","Cloud stabilizer","Adjusts essential oil density in water","BV",0.05,0.15,3.0,7.0,"Y","Y","N-CL","Gum Arabic, Citrus Fiber","1:4","Thick mouth coating, heavy brix","Extremely viscous; pre-blend with oil","APP","APP","APP","Highly hydrophobic density adjuster"
"Ester Gum","Wood rosin glycerol ester","E445","EMU","Weighting agent","Cloud builder","Adjusts essential oil density in water","BV",0.05,0.15,3.0,7.0,"Y","Y","N-CL","Gum Arabic, Orange Terpenes","1:3.5","Resinous aroma, oily feel","High-density oil soluble compound","APP","APP","APP","Purified wood rosin glycerol ester"
"Sodium Oleate","Sodium fatty acid salt","E470a","EMU","Lubricant","Flow agent","Anionic micelle structure","BF",0.10,0.80,6.0,10.0,"Y","Y","N-CL","Mixed Tocopherols, Rice Bran","1:1.5","Soapy, slightly alkaline taste","Poor solubility in acidic waters","APP","APP","APP","Soluble sodium salt of food fatty acids"
"Potassium Oleate","Potassium soap","E470a","EMU","Lubricant","Emulsifier","Hydrophilic surfactant packing","ALL",0.10,0.80,6.0,10.0,"Y","Y","N-CL","Sunflower Lecithin, Rice Husk","1:1.5","Bitter, sharp metallic soap note","Highly soluble in warm aqueous phase","APP","APP","APP","Potassic salt of food-grade fatty acids"
"Calcium Stearate","Calcium soap","E470a","EMU","Flow agent","Lubricant","Hydrophobic physical separation","BF, CF",0.10,1.00,5.5,9.5,"Y","Y","N-CL","Rice Extract Blend, Rice Husk","1:1.2","Powdery, chalky mouthfeel","Insoluble in water and cold alcohols","APP","APP","APP","Insoluble calcium salt of fatty acids"
"Magnesium Stearate","Magnesium soap","E470b","EMU","Lubricant","Anticaking agent","Boundary lubrication barrier","BF, CF",0.10,1.00,5.5,9.5,"Y","Y","N-CL","Rice Bran Extract Blend","1:1.2","Chalky, chalk-like dry notes","Critical tablet excipient","APP","APP","APP","Metallic salt of stearic acid"
"Mono- & Diglycerides","GMS","E471","EMU","Fat crystallization","Crumb softener","Complexes starch, halts syneresis","BF, DS",0.10,0.80,3.5,8.0,"Y","Y","N-CL","Sunflower Lecithin, Pea Protein","1:1.5","Neutral flavor, fatty mouth coating","Hydrate in lipid phase above 65 C","APP","APP","APP","Primary glycerolysis food surfactant"
"GMS Flakes","Glyceryl monostearate","E471a","EMU","Fat structuring","Gelling agent","Forms liquid-crystalline alpha-phase","BF, DY",0.10,0.80,3.5,8.0,"Y","Y","N-CL","Soy Lecithin, Potato Starch","1:1.3","Waxy coating, neutral taste","Melting point 58-62 degrees Celsius","APP","APP","APP","Purified monostearate ester of glycerol"
"Glyceryl Palmitate","Mono-palmitate","E471b","EMU","Fat crystallization","Foam builder","Hydrophobic physical separation","ALL",0.10,0.80,3.5,8.0,"Y","Y","N-CL","Sunflower Lecithin, Citrus Fiber","1:1.5","Neutral flavor, fatty mouthfeel","Disperses in hot vegetable oils","APP","APP","APP","Pure palmitic acid monoglyceride"
"Glyceryl Monooleate","GMO","E471c","EMU","Emulsion builder","Antifoam agent","Lowers interfacial oil-water energy","ALL",0.10,0.80,3.5,8.0,"Y","Y","N-CL","Canola Lecithin, Oat Gum","1:1.2","Viscous, slightly oily mouthfeel","Liquid at room temperature","APP","APP","APP","Liquid unsaturated monoglyceride ester"
"ACETEM","Acetylated mono-diglycerides","E472a","EMU","Coating agent","Plasticizer","Flexible, cohesive hydrophobic film","MT, BF",0.10,0.60,4.0,8.5,"Y","Y","N-CL","Rice Extract, Carnauba Wax","1:2","Mild vinegar aroma, fatty wax","Spray as warm liquid on meat blocks","APP","APP","APP","Acetic acid ester of monoglycerides"
"LACTEM","Lactylated mono-diglycerides","E472b","EMU","Aerating agent","Foam stabilizer","Facilitates gas cell incorporation","DS, DY",0.10,0.60,4.0,8.0,"M","Y","N-CL","Whey Protein, Egg White Solids","1:1.5","Milky, slightly sour dairy note","Increases whip volume and overrun","APP","APP","APP","Lactic acid ester of monoglycerides"
"CITREM","Citric acid monoglycerides","E472c","EMU","Emulsion builder","Meat binder","Chelates metal ions, stabilizes meat","MT, SA",0.10,0.80,3.5,7.5,"Y","Y","N-CL","Sunflower Lecithin, Lemon Fiber","1:1.5","Citric sourness, background acid","Neutralizes free metal oxidation","APP","APP","APP","Citric acid ester of monoglycerides"
"TATEM","Tartaric mono-diglycerides","E472d","EMU","Dough conditioner","Emulsion builder","Strengthens flour protein crosslinks","BF",0.10,0.50,4.0,7.0,"M","N","N-CL","Wheat Gluten, Amylase Enzyme","1:2.2","Mild tartness, bready notes","Dry storage under moisture barrier","APP","BAN","APP","Tartaric acid ester of monoglycerides"
"DATEM","Diacetyltartaric acid esters","E472e","EMU","Gluten strengthener","Dough conditioner","Charges proteins, aggregates gluten","BF",0.10,0.50,4.0,7.0,"M","N","N-CL","Sunflower Lecithin, Wheat Gluten","1:2","Trace sourness, bread odor","Loses function under hot moisture","APP","APP","APP","Extreme performance dough expander"
"MATEM","Mixed acetic-tartaric esters","E472f","EMU","Dough builder","Whipping aid","Multi-ionic surfactant dispersion","BF, DS",0.10,0.50,4.0,7.5,"M","N","N-CL","Soy Lecithin, Potato Fiber","1:2","Sour dough note, high acidity","Blended into flour dry mixes","APP","APP","APP","Mixed ester of monoglycerides"
"Sucrose Esters","Sucrose fatty acid esters","E473","EMU","Solubilizing agent","Protein protector","High hydration, stabilizes casein","DY, BV",0.05,1.00,4.0,9.0,"Y","Y","N-CL","Quillaja Saponins, Gum Arabic","1:1.5","Neutral flavor, clean release","Hydrate in water prior to addition","APP","APP","APP","Broad HLB sucrose fatty acid ester"
"Sucroglycerides","Sucrose esters + mono-diglycerides","E474","EMU","Emulsion builder","Fat crystallization","Mixed polar-nonpolar packing","DY, DS",0.10,1.00,4.0,8.5,"Y","Y","N-CL","Rapeseed Lecithin, Citrus Fiber","1:1.8","Fatty mouth coating, waxy feel","Disperses in hot vegetable fat","APP","APP","APP","Co-processed sucrose ester blend"
"PGE","Polyglycerol fatty acid esters","E475","EMU","Aerating agent","Crystal modifier","Enhances whipping, controls polymorphs","BF, DS",0.05,0.50,4.0,8.5,"Y","Y","N-CL","Egg White Solids, Pea Protein","1:2","Mild soapy flavor, fatty tail","Retains fine gas cell structure","APP","APP","APP","Polymerized glycerol ester compound"
"PGPR","Polyglycerol polyricinoleate","E476","EMU","Yield reducer","Viscosity reducer","Lubricates cocoa butter flow in fat","CF",0.05,0.40,4.0,8.5,"Y","Y","N-CL","Sunflower Lecithin (high shear)","1:1.5","Trace castor bean oil aroma","Key for chocolate molding","APP","APP","APP","Polycondensed ricinoleic acid ester"
"Propylene Glycol Ester","PGMS","E477","EMU","Aerating agent","Crystal inhibitor","Promotes alpha-phase fat crystals","BF, DS",0.10,0.50,4.0,8.5,"Y","M","N-CL","Soy Lecithin, Native Starches","1:1.8","Neutral flavor, clean mouthfeel","Excellent cake crumb volume enhancer","APP","APP","APP","Propylene glycol monostearate polymer"
"Lactylated Esters","Lactylated glycol esters","E478","EMU","Whipping aid","Foam builder","Polar interfacial lipid packing","DS",0.10,0.50,4.5,8.5,"M","Y","N-CL","Casein, Whey Protein Isolate","1:1.5","Dairy flavor, slightly sour note","Requires rapid high-shear cooling","APP","APP","APP","Specialized aerating glyceryl ester"
"TOSOM","Oxidized soya oil glycerides","E479b","EMU","Release agent","Anti-spattering","Interfacial lipid barrier under high heat","Oils",0.05,0.30,5.0,8.0,"Y","Y","N-CL","Mixed Tocopherols, Rice Husk","1:1.5","Oxidized fat aroma, heavy oil","Extreme thermal polymerization","APP","APP","BAN","Thermally modified soybean oil ester"
"DOSS","Dioctyl sodium sulfosuccinate","E480","EMU","Wetting agent","Dispersion aid","Drops surface tension of cocoa powder","BV, CF",0.005,0.05,3.0,9.0,"Y","Y","N-CL","Lecithin, Citrus Fiber","1:3","Chemical saltiness, bitter","Extremely rapid powder dispersion","APP","APP","APP","Anionic sulfosuccinate surfactant"
"SSL","Sodium stearoyl lactylate","E481i","EMU","Crumb softener","Gluten strengthener","Complexes starch, halts retrogradation","BF, DY",0.10,0.50,4.5,8.0,"Y","M","N-CL","Soy Lecithin, Potato Starch","1:1.5","Trace dairy sourness, starch feel","Disperses in warm water emulsion","APP","APP","APP","Ionic stearic acid-lactic acid ester"
"Sodium Isostearoyl","Isostearoyl lactylate","E481ii","EMU","Emulsion builder","Viscosity builder","Charged lipid droplet repulsion","DY, SA",0.10,0.50,4.5,8.0,"Y","M","N-CL","Canola Lecithin, Lemon Fiber","1:1.5","Sourness, fatty mouth coating","Liquid at room temperature","APP","APP","APP","Branched-chain stearoyl surfactant"
"CSL","Calcium stearoyl lactylate","E482i","EMU","Dough builder","Whipping aid","Bridges protein chains, gas retention","BF, DS",0.10,0.50,4.5,8.0,"Y","M","N-CL","Egg White Powder, Pea Protein","1:2","Chalky, traces of sulphur note","Highly compatible in continuous lines","APP","APP","APP","Calcium salt of stearoyl lactylate"
"Calcium Isostearoyl","Calcium lactylate salt","E482ii","EMU","Emulsion builder","Texturizer","Crosslinks proteins in dairy fat","DY, DS",0.10,0.50,4.5,8.0,"Y","M","N-CL","Casein, Sunflower Lecithin","1:1.8","Chalky flavor, dairy sourness","Viscous fluid, hot fat dispersible","APP","APP","APP","Calcium salt of isostearoyl acid"
"Stearoyl Tartrate","Stearoyl tartaric ester","E483","EMU","Dough conditioner","Crumb softener","Interacts with wheat gliadin protein","BF",0.10,0.50,4.0,7.5,"M","N","N-CL","Wheat Gluten, Amylase Enzyme","1:2","Acidity, baked flour flavor","Sparingly soluble in cold doughs","APP","BAN","APP","Tartaric acid monoglyceride ester"
"Sorbitan Monostearate","Span 60","E491","EMU","Yeast protectant","Gloss promoter","Protects dry yeast during rehydration","BF, CF",0.10,1.00,4.0,8.5,"Y","Y","N-CL","Mixed Tocopherols, Lecithin","1:2","Waxy flavor, fatty coating","Must melt into oil phase first","APP","APP","APP","Sorbitol-derived hydrophobic ester"
"Sorbitan Tristearate","Span 65","E492","EMU","Bloom inhibitor","Cocoa modifier","Retards fat crystal polymorphism","CF",0.10,1.00,4.0,8.5,"Y","Y","N-CL","Sunflower Lecithin, Rice Husk","1:2.2","Neutral taste, fatty coating","Solid wax, disperses in warm lipid","APP","APP","APP","Sorbitan hydrophobic triester"
"Sorbitan Monopalmitate","Span 40","E493","EMU","Solubilizing agent","Viscosity builder","Intermediate hydrophobic packing","ALL",0.10,0.80,4.0,8.5,"Y","Y","N-CL","Canola Lecithin, Oat Gum","1:2.5","Mild oily mouthfeel","Melt into oil phase before mixing","APP","APP","APP","Sorbitol palmitate ester surfactant"
"Sorbitan Monolaurate","Span 20","E494","EMU","Antifoam agent","Emulsion builder","Lowers liquid surface tension","ALL",0.10,0.80,4.0,8.5,"Y","Y","N-CL","Sunflower Lecithin, Citrus Fiber","1:2.5","Oily flavor, lingering waxiness","Liquid at room temperature","APP","APP","APP","Sorbitol laurate ester surfactant"
"Sorbitan Monooleate","Span 80","E495","EMU","W/O Emulsifier","Rust inhibitor","Forms stable water droplets in fat","ALL",0.10,0.80,4.0,8.5,"Y","Y","N-CL","Soy Lecithin, Potato Fiber","1:2","Bitter, heavy oily aftertaste","Excellent for margarine stability","APP","APP","APP","Sorbitol oleic acid ester"
"Alginic Acid","Brown seaweed pulp","E400","STA","Thickener","Gelling agent","Hydrates into structural gel polymer","DY, SA",0.10,1.00,3.5,8.0,"Y","Y","S-CL","Pectin, Carrageenan, Native Starch","1:1.2","Tartness, background cereal taste","Insoluble in cold water","APP","APP","APP","Acidic brown seaweed polysaccharide"
"Sodium Alginate","Sodium algin","E401","STA","Cold gelation","Thickener","Crosslinks with calcium ions","DY, SA",0.10,1.00,4.0,10.0,"Y","Y","S-CL","Pectin, Native Potato Starch","1:1","Brittle bite, clean release","Avoid free calcium during hydrate","APP","APP","APP","Highly soluble seaweed polymer"
"Potassium Alginate","Potassium algin","E402","STA","Thickener","Gelling agent","Crosslinks with divalent calcium","SA, BV",0.10,1.00,4.0,10.0,"Y","Y","S-CL","Sodium Alginate, Xanthan Gum","1:1","Metallic potassium trace, sour","Highly soluble in low-sodium systems","APP","APP","APP","Potassic seaweed-derived polymer"
"Ammonium Alginate","Ammonium algin","E403","STA","Viscosity builder","Dough improver","Hydrates, forms structural gel","BF",0.10,1.00,4.0,9.0,"N","Y","S-CL","Guar Gum, Sodium Alginate","1:1.2","Ammonia gas release during baking","Escapes as gas under baking heat","APP","APP","APP","Ammonium salt of alginic acid"
"Calcium Alginate","Gelled alginate","E404","STA","Thickener","Texturizer","Forms insoluble physical gel","MT, BF",0.10,1.50,4.0,10.0,"Y","Y","S-CL","Calcium Carbonate, Native Starch","1:1","Gritty, slightly chalky mouthfeel","Prefabricated gel particle flow","APP","APP","APP","Insoluble pre-gelled alginate salt"
"Propylene Glycol Algin","PGA","E405","STA","Acid stabilizer","Foam builder","Hydrophobic surface active ester","BV, SA",0.05,0.60,2.5,6.5,"Y","Y","N-CL","Tragacanth Gum, Xanthan Gum","1:1.5","Clean, sharp liquid mouthfeel","Resists acid-mediated hydrolysis","APP","APP","APP","Highly esterified alginic derivative"
"Agar-Agar","Kanten","E406","STA","Gel builder","Synereis control","Thermally reversible hydrogen gel","CF, DS",0.10,1.50,4.5,10.0,"Y","Y","CL","Sodium Alginate, Pectin","1:0.8","Brittle, hard gel bite","Hydrate at 85 C, gels at 35 C","APP","APP","APP","Red seaweed-derived polysaccharide"
"Carrageenan","Red seaweed extract","E407","STA","Protein suspension","Gelling agent","Electrostatic binding with casein","DY, DS",0.05,1.00,4.0,10.0,"Y","M","N-CL","LBG, Xanthan, Konjac Gum","1:1.2","Brittle gel bite, thick feel","Hydrate above 75 C for milk gel","APP","RES","APP","High-performance dairy gel stabilizer"
"PES","Semi-refined carrageenan","E407a","STA","Protein binder","Thickener","Hydrates, physically entrap water","MT, DY",0.05,1.20,4.5,10.0,"Y","M","N-CL","Sodium Alginate, Citrus Fiber","1:1.5","Cereal-like, slightly muddy note","Contains higher natural cellulose","APP","APP","APP","Processed seaweed matrix binder"
"Yeast Glycan","Bakers yeast glycan","E408","STA","Thickener","Humectant","Retains moisture, physically swells","BF, SN",0.10,1.50,4.0,8.5,"Y","Y","CL","Yeast Extract, Potato Fiber","1:1.5","Savoury trace, bready flavor","Highly compatible with baking lines","APP","APP","APP","Bakers yeast cell wall polysaccharide"
"Pullulan","Aureobasidium polymer","E409","STA","Film former","Glazing agent","Forms oxygen-barrier glazes","CF, BF",0.50,5.00,3.0,8.0,"Y","Y","S-CL","Gelatin, Starch, Shellac","1:1","Neutral, glass-like bite","Soluble in cold water, sticky","APP","APP","APP","Fermentation-derived glucose polymer"
"Locust Bean Gum","Carob gum","E410","STA","Viscosity builder","Cryoprotectant","Forms structural network","DY, INF",0.10,0.80,3.5,10.0,"Y","Y","S-CL","Guar Gum, Tara Gum","1:1","Creamy mouthfeel, clean flavor","Max level 5,300 mg/kg in pediatric FSMP","APP","RES","APP","Seed-derived hot-soluble galactomannan"
"Oat Gum","Oat glucan","E411","STA","Thickener","Fat replacer","Hydrates into smooth viscous polymer","DY, BF",0.10,1.50,4.0,9.0,"Y","Y","CL","Oat Fiber, Xanthan Gum","1:1.5","Cereal note, toasted oat taste","High beta-glucan nutritional profile","APP","APP","APP","Natural oat-derived hydrocolloid"
"Guar Gum","Guaran","E412","STA","Viscosity builder","Synereis control","Rapid cold swelling galactomannan","DY, SA",0.10,1.00,3.0,9.0,"Y","M","S-CL","Xanthan, LBG, Citrus Fiber","1:0.8","Slimey feel, trace beany note","Revoked in EU infant formula","APP","RES","APP","Highly soluble cold-water seed gum"
"Tragacanth Gum","Astragalus exudate","E413","STA","Acid stabilizer","Emulsion builder","Steric stabilization under low pH","SA, BV",0.10,1.20,2.0,7.0,"Y","Y","S-CL","Xanthan Gum, Alginates","1:0.6","Smooth pour, clean flavor","Prolonged high-shear hydrate cycle","APP","APP","APP","Premium acid-stable exudate gum"
"Gum Arabic","Acacia gum","E414","STA","Encapsulating","Emulsifier","Arabinogalactan interfacial film","BV, CF",1.00,25.0,3.0,8.0,"Y","Y","CL","Modified Starch (E1450)","1:1.5","Clean mouthfeel, zero viscosity","Solubility up to 50% in water","APP","RES","APP","Highly soluble tree exudate polymer"
"Xanthan Gum","Corn sugar gum","E415","STA","Rheology control","Suspendant","Rigid rod pseudoplastic flow","SA, DY",0.05,0.60,2.0,12.0,"Y","Y","S-CL","Guar Gum, LBG, Psyllium Husk","1:1.2","High cling, slight slime notes","Extreme shear-thinning stability","APP","RES","APP","Highly stable fermentation polymer"
"Karaya Gum","Sterculia gum","E416","STA","Adhesive gel","Water binder","Swells rapidly to retain water","BF, MT",0.10,1.00,4.0,8.0,"Y","M","S-CL","Xanthan Gum, Sodium Alginate","1:1","Rubbery bite, sticky mouthfeel","Must dry mill to ultra-fine mesh","APP","APP","APP","Acidic partially acetylated gum"
"Tara Gum","Caesalpinia gum","E417","STA","Viscosity builder","Cryoprotectant","Intermediate density galactomannan","DY, DS",0.10,1.00,3.5,9.5,"Y","Y","S-CL","LBG, Guar Gum, Xanthan Gum","1:1.1","Creamy mouthfeel, neutral taste","Synergistic gelation with xanthan","APP","APP","APP","Seed galactomannan of high purity"
"Gellan Gum","Sphingomonas polymer","E418","STA","Fluid gel builder","Gelling agent","Crosslinks with ions; pseudoplastic","BV, DY",0.05,0.50,3.5,10.0,"Y","Y","S-CL","Agar-Agar, Sodium Alginate","1:0.8","Clean release, crisp gel bite","Low-acyl forms yield brittle gels","APP","APP","APP","Fermentation-derived gelling active"
"Konjac Gum","Amorphophallus extract","E425i","STA","Thermoreversible","Thickener","Forms highly elastic hydrogen gel","MT, BF",0.10,1.00,3.5,9.0,"Y","Y","S-CL","Sodium Alginate, Starches","1:1.2","Firm bite, slightly slimy feel","Solubilizes slowly in cold water","APP","APP","APP","High molecular weight glucomannan"
"Konjac Flour","Semi-refined glucomannan","E425ii","STA","Thickener","Water binder","Rapid physical entrapment","MT, BF",0.10,1.20,3.5,9.0,"Y","Y","S-CL","Pea Fiber, Citrus Fiber","1:1.5","Cereal-like, starchy note","High background plant particulates","APP","APP","APP","Coarse plant tuber glucomannan"
